question,category,level ,answer,
How is physical safety ensured without creating fear?,Facility & Operation,School Wide,"Safety is maintained through orderly infrastructure such as sheltered walkways and ramp access, as well as teacher supervision. ",
Are there additional fees for elective activities?,Facility & Operation,School Wide,"There are additional fees for elective activities, which are typically structured as a yearly cost for 16 sessions. While most electives have a standard fee, certain activities have higher costs or require extra payments for materials and equipment.",
"Are children allowed to learn through play, art, and exploration?",Curriculum & Academic,EYP,"Yes, Binus provides an Indoor & Outdoor Discovery Area and specific rooms for Visual Arts and Music to facilitate exploration",
What are the developmental goals and focuses for children enrolled specifically in the EY1 level?,Curriculum & Academic,EYP,"The focus for EY1 is on socialization, introducing routines, behavior, motor skills, and school readiness. It also aims to habituate children to communicating in English",
When is elective for Upper Secondary students?,Curriculum & Academic,Secondary,Secondary (Grades 11–12): Electives are held on Wednesdays (15:00–16:30) and Clubs on Thursdays (15:10–16:10),
How does Binus introduce social interaction gently at this age?,Students Well-Being,EYP,"Social interaction is introduced through daily ""Circle Time"" and a curriculum focus on developing social skills. EY1 specifically serves as a moments for socialization and readiness before higher kindergarten levels.",
How does Binus support students applying to universities (local or overseas)?,Curriculum & Academic,Secondary,Guidance Counselors assist students in selecting majors and navigating both local and international application pathways. Binus also provides External Exam Preparation (EEP) starting in Grade 12 and offers extra classes specifically for those aiming for overseas universities to help them prepare for Cambridge A-Level exams.,
What are the different types of continual assessments used to monitor a child's progress in the Primary level?,Curriculum & Academic,EYP,A child's progress is tracked through continual assessments consisting of performance tests and quizzes,
Is there any Technology Laboratories (ICT Labs)?,Facility & Operation,School Wide,"There are two Centers for digital literacy and specialized classes like website development, 3D Animation, and robotics.",
"During Ramadan fasting, is the timetable adjust?",Curriculum & Academic,EYP,"School adjust some activities during ramadan fasting, for example, students who are fasting can visit library and musola during lunch time and recess time.",
When my kid can play in the playgroung?,Facility & Operation,EYP,Students can use playground during recess and PE.,
How does Binus handle competition while maintaining emotional balance?,Vision & Values,School Wide,"Students are encouraged to participate in various academic and talent competitions (e.g., Topaz Olympiad, Writing competitions), while being supported by Guidance Counselors (GC) and psychologists to manage adaptation and readiness.",
How does Binus introduce local social norms gently?,Vision & Values,School Wide,Local culture is introduced through subjects like Pendidikan Pancasila and specific local culture appreciation components in the curriculum.,
Is there any supervisor during swimming lesson?,Facility & Operation,School Wide,"PE teacher, class teacher and helper will supervise by the pool during swimming lesson to ensure safety for all students.",
What curriculum is used at lower secondary level?,Vision & Values,Secondary,Binus implements a blend of the Cambridge International Curriculum and the Indonesian National Curriculum (Merdeka).,
Is there another religion celebration?,Vision & Values,School Wide,"In Binus, we try our best to facilitate all religion events and celebrations.",
What is the textbook cost for Early Years?,Facility & Operation,EYP,"Textbooks: Costs range from approximately IDR 383,000 (EY1) to IDR 460,000 (EY3)",
How is language development supported?,Curriculum & Academic,EYP,"Binus provides an immersive environment where English is encouraged daily, and students are expected to listen and understand simple instructions starting in EY1. Mandarin is introduced as an additional language starting at the Early Years level with basics like greetings and numbers, and Bahasa Indonesia is included as a core subject.",
How does Binus adapt its philosophy as children mature across levels?,Students Well-Being,School Wide,"The focus shifts from socialization and motor skills in Early Years to problem solving and critical thinking in Primary, and finally to industry-based learning experiences and a strong emphasis on international issues in Secondary.",
How do you handle illness or emergencies?,Students Well-Being,School Wide, Binus is equipped with a school clinic to handle medical needs.,
What are school hours for each level?,Facility & Operation,School Wide,"EY1: 08:30 – 11:50.
    ◦ EY2 & 3: 08:30 – 13:00.
    ◦ Primary: Starts at 07:15 or 07:45; dismissal at 13:50 or 14:00 (Fridays are half-days ending at 10:45 or 11:20).",
How predictable are long-term costs across levels?,Finance,School Wide,"Binus provides estimated prices for textbooks, uniforms, activity fees, and electives for each specific grade level. Additionally, 0% credit card installment programmes are available through various banks to help manage payments.",
What is industry-based learning?,Curriculum & Academic,Secondary,"Industry-based learning is one of the core curriculum focuses for the Secondary level (Middle and High School) at the school. These experiences are designed to give students a competitive edge in the global job market, ensuring they are ""ready for the world"" upon graduation.",
Are there mentoring or counseling services available?,Students Well-Being,School Wide,"Yes, Guidance Counselors (GC) are available to assist students with emotional adaptation, academic guidance, and university preparation.",
How do you keep learning interesting and meaningful?,Curriculum & Academic,School Wide,Learning is kept meaningful through interdisciplinary learning (IDP) that connects different subjects and industry-based learning experiences at the Secondary level,
How does Binus handle separation anxiety?,Students Well-Being,EYP,"For children struggling with adaptation, parents are required to be present for the first two weeks of school. Guidance Counselors (GC) are also available to accompany and support students during this transition period.",
"What curriculum is used for Early Years (play-based, Montessori, EYFS, etc.)?",Curriculum & Academic,EYP,"The Early Years curriculum is inquiry and activity-based. It focuses on transitioning children into a school environment through socialization, routine building, and developing self-management and social skills.",
How does Binus help students manage academic pressure?,Students Well-Being,School Wide,"Binus provides comprehensive external exam preparation (EEP) starting from Grade 12. For students aiming for top universities, extra classes are provided to help them prepare for the Cambridge A-Level Examinations.",
Is there a school nurse or health officer?,Facility & Operation,School Wide,"Binus facilities include a School Clinic, though the sources do not explicitly name a specific nurse or health officer role.",
"How does Binus balance academic excellence, character development, and well-being?",Vision & Values,School Wide,"Binus integrates Cambridge international standards with a strong focus on Socio-Emotional Learning, Values Education, and character building at all levels. While maintaining academic rigor, Binus explicitly includes ""Promotes well-being"" as a primary curriculum focus in the Early Years to ensure a balanced development.",
How do you work with parents when a child needs extra care?,Students Well-Being,EYP,"If a child requires extra support during their adaptation period, parents are asked to collaborate closely with Binus, which may include being present for the first two weeks and receiving assistance from Guidance Counselors.",
How does Binus avoid over-stimulation or excessive pressure on children?,Students Well-Being,School Wide,"While a specific policy isn't detailed, Binus integrates regular Recess and Lunch breaks into the daily schedule to allow students to recharge. In the Primary years, Class Teachers and Co-Teachers accompany students at all times, which allows for constant monitoring of student well-being.",
How are moral choices discussed at an age-appropriate level?,Vision & Values,Secondary,"Moral development is addressed through Values Education and Character Building programmes, as well as Agama (Religion) and Pendidikan Pancasila subjects which begin in EY1.",
How does Binus cultivate inner discipline and self-awareness in students?,Vision & Values,School Wide,"Discipline and self-awareness are cultivated through Socio-Emotional Learning (SEL), character building programs, and the ""Spirit Week"" initiatives.",
Can my kid order food from online using Gojek/Grab?,Facility & Operation,Secondary,Students can purchase meals from cafeteria or bring from home.,
How is campus security managed?,Facility & Operation,School Wide,Binus has 24 Hours security system. ,
is there any extra fee for electives?,Curriculum & Academic,School Wide,"Additional Costs for electives: 3D Clay requires an extra material fee of IDR 65,000 per session and specific uniforms or equipment are mandatory for classes like Wushu (uniform/shoes), Muay Thai (handwraps/gloves), and Fun Cooking (apron).",
Are enrichment programs available for high-achieving students?,Curriculum & Academic,Secondary,"High-achieving students are recognized through ""Moving Up & Recognition"" ceremonies. They are also encouraged to participate in external competitions like the TOPAZ Olympiad or the Bahasa Indonesia Writing Competition.",
What is the class size/capacity in Binus School Bekasi?,Teaching Quality,School Wide,"Binus maintains small class capacities—a maximum of 24 students in Early Years and Primary, and 28 in Secondary—to help teachers effectively manage diverse student personalities",
How are students guided in developing responsibility and independence?,Students Well-Being,School Wide,"Responsibility is fostered through a focus on self-management skills and Industry-Based Learning experiences at the Secondary level. In the Early Years, independence is encouraged through practical routines like toilet training.",
Can my kid bring their gadget?,Curriculum & Academic,School Wide,Binus incorporated Bring Your Own Device to primary-secondary students in facilitating their learning activities under teachers supervision and regulation.,
What specific topics are introduced in Mandarin language lessons for Early Years students?,Curriculum & Academic,EYP,"Mandarin lessons at this level are in the ""introduction stages"" and cover topics such as greetings, colours, numbers, and animals",
How is progress monitored during the first year?,Curriculum & Academic,EYP,"In Primary levels, progress is tracked through continual assessments (performance tests and quizzes), school diaries, and newsletters.",
How does Binus help students manage future-related anxiety?,Students Well-Being,Secondary,"Binus provides Guidance Counselors (GC) to help direct students toward their university pathways and career majors. Additionally, for those aiming for competitive international universities, extra classes are provided to prepare for the Cambridge A-Level Examinations.",
How many students in total?,Facility & Operation,School Wide,In total students are enrolled about 1000.,
How does Binus support students with different learning paces?,Curriculum & Academic,School Wide,Binus implementing LMS for all students so they can recall the material anytime and anywhere.,
How are Islamic values integrated into daily lessons and school culture?,Vision & Values,School Wide,"we have 5 religion study, moslem students have musola for them to pray",
What onboarding or orientation support is provided for newly arrived students?,Students Well-Being,School Wide,"Binus holds Parent and Student Orientation Days at the start of the academic year. For early childhood levels, parents are allowed to accompany their child during the first two weeks of adaptation.",
Are teachers trained specifically in early childhood development?,Teaching Quality,School Wide,"Yes, teachers have regular training, and they are graduated from good university",
How are cultural differences respected at this level?,Vision & Values,School Wide,The level respects diversity by celebrating various religious holidays and cultural weeks.,
Is wifi available for students?,Facility & Operation,School Wide,The campus is fully equipped with Wi-Fi connectivity and reticulated internet/AV cabling.,
Tell me more about the Grade 12 external exam prep,Curriculum & Academic,Secondary,The Grade 12 External Exam Preparation (EEP) is a comprehensive and structured program designed to equip students for the challenges of prestigious international examinations. Preparation starts at Grade 12 with the primary focus is on the Cambridge AS & A Level Examinations.,
What is standard fees electives?,Curriculum & Academic,School Wide,"Standard Electives: Most activities cost IDR 1,536,000 to IDR 1,550,000 per year",
How do you teach empathy and kindness in daily routines?,Vision & Values,School Wide,"Empathy and kindness are integrated into daily routines through socialisation and behavior guidance, particularly in the Early Years, to ensure students are ready for more formal schooling. The overall educational framework emphasizes well-being and social skills as primary curriculum focuses.",
is there music studio?,Facility & Operation,School Wide,"Binus has Music Studios: Rooms containing instruments such as keyboards, guitars, and traditional instruments",
How to pay in school cafeteria?,Facility & Operation,EYP,Transaction in school cafeteria is using Flazz integrated in students' id card.,
How are creativity and imagination protected alongside academics?,Curriculum & Academic,EYP,"The EY timetable includes dedicated periods for Visual Arts and Music. Students also have access to various creative electives such as Violin, Drawing Art, Art & Craft, Ballet, and Modern Dance.",
Is there any extracurricular activities in STEM and technology?,Curriculum & Academic,EYP,"Students can participate in Robotics (available from Early Years through High School), 3D Animation (Grades 4–8), E-Sports, Clevio Coding (Grades 4–6), and Digital Art",
How does Binus support university or career preparation?,Curriculum & Academic,Secondary,Binus provides External Exam Preparation (EEP) starting in Grade 12. Guidance Counselors assist students in selecting majors and navigating university application paths.,
"How long has Binus been operating, and what are its major milestones?",Vision & Values,School Wide,"While the broader BINUS organization has been operating for 43 years, the Bekasi campus specifically celebrated its 10-Year Anniversary in 2025.",
How does Binus help families plan long-term education pathways?,Curriculum & Academic,School Wide,Binus employs Guidance Counsellors (GC) to direct students toward university paths and provides preparation for Cambridge A Level Exams for those seeking to study abroad. There is also a focus on direct entry to BINUS Universities.,
"How does Binus encourage mindfulness, reflection, or calm focus in daily routines?",Students Well-Being,School Wide,Mindfulness and focus are encouraged through daily Circle Time in the Early Years curriculum and scheduled CARE sessions for both Early Years and Primary students.,
When is the CARE time?,Curriculum & Academic,School Wide,"CARE sessions are held every Friday, though the timing varies by level",
What is AP A stream?,Curriculum & Academic,Secondary,"AP A (Pure Science & Advanced Math) stream. This stream is designed for students focusing on engineering, physical sciences, or advanced mathematics. Stream Core Subjects: Chemistry, Physics, and Additional Mathematics. Syllabus Level: Physics and Chemistry follow the IGCSE/AS Level syllabus, while Additional Mathematics progresses to the A Level syllabus.",
"Are internships, projects, or community service programs available?",Curriculum & Academic,Secondary,"Binus offers Student Development Programme at the Secondary level to connect students with real-world applications. Students also engage in interdisciplinary learning (IDP) and research-based projects, which are central to Binus’s hybrid Cambridge-IB methodology. Community service is actively encouraged through the Student Council, which organizes events like Primary Student Council Community Service",
When is elective for Primary students?,Curriculum & Academic,EYP,Primary (Grades 1–6) electives: Held on Tuesdays or Thursdays from 14:00 to 15:00,
Is there any parking fee for parents?,Facility & Operation,School Wide,"Free Parking area provided for teachers, parents, and visitor.",
Tell me more about interdisciplinary learning (IDP) projects.,Curriculum & Academic,Secondary,"Interdisciplinary Learning (IDP) is a core component of the curriculum at the Secondary level, designed to provide students with a holistic and integrated educational experience
Here are the specific details regarding IDP projects based on the sources:
1. Integration of Cambridge and IB Methodologies
While the school follows the Cambridge (CAIE) curriculum for its subject depth, it adopts the IB methodology for its learning approach
. IDP projects are the practical application of this hybrid model, focusing on connecting different subjects rather than teaching them in isolation.
2. Focus and Purpose
The primary goals of these projects are to develop:
21st-Century Skills: Preparing students for modern global challenges.
Research and Critical Thinking: Moving beyond rote memorisation to inquiry-based learning.
Real-World Connections: Helping students understand how concepts from various fields (such as Science, Humanities, and Mathematics) overlap and interact.",
How is akhlaq (character and manners) taught and reinforced?,Vision & Values,School Wide," Character and manners are reinforced through the Values Education and Character Building curriculum focus. This is further supported by Agama (Religion) education for five religions, which begins in EY1, and daily routines that focus on socialisation and behavior guidance.",
How does the environment promote calm rather than constant stimulation?,Facility & Operation,School Wide,"Binus provides facilities such as sheltered walkways and ramp access for safe and orderly movement. The daily schedule also includes structured ""Circle Time"" and ""CARE Sessions"" to help students focus.",
How does Binus help students reflect on their actions rather than simply punish?,Students Well-Being,Secondary,"While specific disciplinary procedures are not detailed, Binus utilizes Student Led Conferences and a curriculum centered on character building to foster reflection. The use of CARE sessions in the secondary timetable also provides a dedicated space for student-teacher interaction and personal development.",
How are students supported when they lose motivation or confidence?,Students Well-Being,School Wide,Support is provided through Guidance Counselors (GC) who offer direction for students' academic and personal goals. The curriculum's focus on character building also aims to develop student resilience.,
Is transportation provided?,Facility & Operation,School Wide,"Binus provides designated carpooling areas in various locations (e.g., Vida, Wisma Asri, Summarecon); parents are directed to ACOP for details.",
What does a typical CARE session involve?,Curriculum & Academic,School Wide,"The core curricular focus of CARE time: The sessions are the practical application of the school's commitment to Socio-Emotional Learning (SEL), Values Education, and Character Building. In the Early Years, these sessions specifically aim to promote well-being and develop social skills.",
How does Binus prepare students for exams without causing burnout?,Curriculum & Academic,Secondary,"To manage the demands of Grade 12, Binus provides structured preparation (EEP) from the beginning of the year and offers extra classes for those who need help with study habits or language, aiming for a well-equipped and confident transition to exams.",
Is there any fieldtrip to foreign countries for secondary students?,Curriculum & Academic,Secondary,"Yes, we had some fielt trip program to some countries like China, Vietnam, and other countries depend on the curriculum or affective topics that the students are learning at that moment with their teachers.",
How does Binus communicate progress without focusing on grades?,Curriculum & Academic,School Wide,"Binus provides feedback through Student Led Conferences, where students take the lead in presenting their own learning journey. rogress is also communicated through continual assessments such as performance tests and quizzes, and parents stay informed via Binus diary, newsletters, and scheduled Parent Teacher Conferences (PTC) throughout the year",
How does Binus ensure consistency across different classes and levels?,Curriculum & Academic,School Wide,"Binus ensures consistency by following structured Cambridge International and National Curricula across all levels. Additionally, there is a uniformity admission test for the Secondary level to ensure students enter with a consistent baseline. Class sizes are also capped (maximum 24 students for Primary and 28 for Secondary) to maintain standards.",
"What pathways are available after upper secondary (university, vocational, international)?",Curriculum & Academic,Secondary,Graduates have a pathway for direct entry to BINUS Universities or are prepared for international universities worldwide via their Cambridge AS & A Level results.,
